docket,amicus,argDate,argMonth,argYear,caseName,cutoffs_ALL,cutoffs_BREYER,cutoffs_GINSBURG,cutoffs_KENNEDY,cutoffs_ROBERTS,cutoffs_SCALIA,decDate,majVotes,minVotes,winner,words_BREYER,words_GINSBURG,words_KENNEDY,words_ROBERTS,words_SCALIA,sentiment_BREYER,sentiment_GINSBURG,sentiment_KENNEDY,sentiment_ROBERTS,sentiment_SCALIA,petitioner_dk,respondent_dk,caseOrigin_circuit,caseSource_circuit,source_origin_diff,lcDispositionDirection,lcDisposition,issueArea,certReason,jurisdiction,adminAction,adminActionState,BREYER_pet_wc,BREYER_res_wc,BREYER_pet_qc,BREYER_res_qc,BREYER_pet_cc,BREYER_res_cc,GINSBURG_pet_wc,GINSBURG_res_wc,GINSBURG_pet_qc,GINSBURG_res_qc,GINSBURG_pet_cc,GINSBURG_res_cc,KENNEDY_pet_wc,KENNEDY_res_wc,KENNEDY_pet_qc,KENNEDY_res_qc,KENNEDY_pet_cc,KENNEDY_res_cc,ROBERTS_pet_wc,ROBERTS_res_wc,ROBERTS_pet_qc,ROBERTS_res_qc,ROBERTS_pet_cc,ROBERTS_res_cc,SCALIA_pet_wc,SCALIA_res_wc,SCALIA_pet_qc,SCALIA_res_qc,SCALIA_pet_cc,SCALIA_res_cc,neuralegal_resp,neuralegal_pet,BREYER_pet_questions,BREYER_res_questions,BREYER_question_diff,BREYER_avg_words_pet,BREYER_avg_words_res,BREYER_avg_words_diff,BREYER_wc_ratio_pet,BREYER_wc_ratio_res,BREYER_wc_ratio_diff,BREYER_cc_ratio_pet,BREYER_cc_ratio_res,BREYER_cc_ratio_diff,BREYER_qc_ratio_pet,BREYER_qc_ratio_res,BREYER_qc_ratio_diff,GINSBURG_pet_questions,GINSBURG_res_questions,GINSBURG_question_diff,GINSBURG_avg_words_pet,GINSBURG_avg_words_res,GINSBURG_avg_words_diff,GINSBURG_wc_ratio_pet,GINSBURG_wc_ratio_res,GINSBURG_wc_ratio_diff,GINSBURG_cc_ratio_pet,GINSBURG_cc_ratio_res,GINSBURG_cc_ratio_diff,GINSBURG_qc_ratio_pet,GINSBURG_qc_ratio_res,GINSBURG_qc_ratio_diff,KENNEDY_pet_questions,KENNEDY_res_questions,KENNEDY_question_diff,KENNEDY_avg_words_pet,KENNEDY_avg_words_res,KENNEDY_avg_words_diff,KENNEDY_wc_ratio_pet,KENNEDY_wc_ratio_res,KENNEDY_wc_ratio_diff,KENNEDY_cc_ratio_pet,KENNEDY_cc_ratio_res,KENNEDY_cc_ratio_diff,KENNEDY_qc_ratio_pet,KENNEDY_qc_ratio_res,KENNEDY_qc_ratio_diff,ROBERTS_pet_questions,ROBERTS_res_questions,ROBERTS_question_diff,ROBERTS_avg_words_pet,ROBERTS_avg_words_res,ROBERTS_avg_words_diff,ROBERTS_wc_ratio_pet,ROBERTS_wc_ratio_res,ROBERTS_wc_ratio_diff,ROBERTS_cc_ratio_pet,ROBERTS_cc_ratio_res,ROBERTS_cc_ratio_diff,ROBERTS_qc_ratio_pet,ROBERTS_qc_ratio_res,ROBERTS_qc_ratio_diff,SCALIA_pet_questions,SCALIA_res_questions,SCALIA_question_diff,SCALIA_avg_words_pet,SCALIA_avg_words_res,SCALIA_avg_words_diff,SCALIA_wc_ratio_pet,SCALIA_wc_ratio_res,SCALIA_wc_ratio_diff,SCALIA_cc_ratio_pet,SCALIA_cc_ratio_res,SCALIA_cc_ratio_diff,SCALIA_qc_ratio_pet,SCALIA_qc_ratio_res,SCALIA_qc_ratio_diff
05-204X,0,3/1/2006,3,2006,LEAGUE OF UNITED LATIN AMERICAN CITIZENS et al. v. RICK PERRY GOVERNOR OF TEXAS et al.,-21,-0.111111111,-1.0,-0.375,-0.44,-0.666666667,6/28/2006,5.0,4.0,1.0,1,-1,-1,-1,-1,-0.102254634,0.115,-0.053531371,0.276732846,-0.048267333,0.0,0.0,5.0,5.0,1,1.5,-1.0,2,-1.0,2,0,0,288,607,3,7,21,32,148,0,2,0,9,1,745,445,7,7,35,25,1147,321,26,13,60,25,691,142,10,2,45,12,0.989,0.839,0.142857142857,0.21875,0,13.7142857143,18.96875,-1,0.321787709497,0.678212290503,-1,0.396226415094,0.603773584906,-1,0.3,0.7,-1,0.222222222222,0.0,1,16.4444444444,0.0,1,1.0,0.0,1,0.9,0.1,1,1.0,0.0,1,0.2,0.28,0,21.2857142857,17.8,1,0.626050420168,0.373949579832,1,0.583333333333,0.416666666667,0,0.5,0.5,0,0.433333333333,0.52,0,19.1166666667,12.84,1,0.781335149864,0.218664850136,1,0.705882352941,0.294117647059,1,0.666666666667,0.333333333333,1,0.222222222222,0.166666666667,0,15.3555555556,11.8333333333,1,0.829531812725,0.170468187275,1,0.789473684211,0.210526315789,1,0.833333333333,0.166666666667,1
05-259X,-1,4/17/2006,4,2006,BURLINGTON NORTHERN & SANTA FE RAILWAY COMPANY v. SHEILA WHITE,14,0.5,-0.333333333,0.0,1.0,0.647058824,6/22/2006,9.0,0.0,0.0,0,-1,-1,1,1,0.012225168,0.107726954,0.0,0.017904762,0.009080347,1.0,11.0,6.0,6.0,1,2.0,2.0,2,2.0,1,0,0,422,281,5,3,23,15,532,220,3,4,40,12,47,0,1,0,6,1,53,495,0,11,3,26,365,624,5,14,30,45,0.296,0.746,0.217391304348,0.2,0,18.347826087,18.7333333333,-1,0.600284495021,0.399715504979,1,0.605263157895,0.394736842105,1,0.625,0.375,1,0.075,0.333333333333,-1,13.3,18.3333333333,-1,0.707446808511,0.292553191489,1,0.769230769231,0.230769230769,1,0.428571428571,0.571428571429,0,0.166666666667,0.0,0,7.83333333333,0.0,1,1.0,0.0,1,0.857142857143,0.142857142857,1,1.0,0.0,1,0.0,0.423076923077,-1,17.6666666667,19.0384615385,-1,0.0967153284672,0.903284671533,-1,0.103448275862,0.896551724138,-1,0.0,1.0,-1,0.166666666667,0.311111111111,0,12.1666666667,13.8666666667,-1,0.369059656218,0.630940343782,-1,0.4,0.6,0,0.263157894737,0.736842105263,-1
05-260X,-1,3/28/2006,3,2006,JOEL SEREBOFF ET UX. v. MID ATLANTIC MEDICAL SERVICES INC.,-13,-0.75,-1.0,0.0,0.5,0.142857143,5/15/2006,9.0,0.0,0.0,0,-1,0,1,0,0.126837798,0.150243506,0.3125,-0.049487379,0.141305916,0.0,1.0,4.0,4.0,1,1.0,2.0,8,2.0,1,0,0,309,339,9,2,35,14,290,140,5,1,17,6,88,94,1,5,6,7,246,531,3,10,10,30,271,193,3,3,16,16,0.599,0.646,0.257142857143,0.142857142857,0,8.82857142857,24.2142857143,-1,0.476851851852,0.523148148148,0,0.714285714286,0.285714285714,1,0.818181818182,0.181818181818,1,0.294117647059,0.166666666667,0,17.0588235294,23.3333333333,-1,0.674418604651,0.325581395349,1,0.739130434783,0.260869565217,1,0.833333333333,0.166666666667,1,0.166666666667,0.714285714286,-1,14.6666666667,13.4285714286,1,0.483516483516,0.516483516484,0,0.461538461538,0.538461538462,0,0.166666666667,0.833333333333,-1,0.3,0.333333333333,0,24.6,17.7,1,0.316602316602,0.683397683398,-1,0.25,0.75,-1,0.230769230769,0.769230769231,-1,0.1875,0.1875,0,16.9375,12.0625,1,0.584051724138,0.415948275862,0,0.5,0.5,0,0.5,0.5,0
05-352X,0,4/18/2006,4,2006,UNITED STATES v. CUAUHTEMOC GONZALEZ-LOPEZ,-1,0.0,-1.0,0.285714286,0.818181818,-0.230769231,6/26/2006,5.0,4.0,0.0,0,0,0,1,-1,0.0,-0.069440523,-0.339279337,-0.054175207,0.153822532,2.0,3.0,8.0,8.0,1,2.0,5.0,1,12.0,1,0,0,0,0,0,0,1,1,231,171,4,6,14,11,257,318,5,2,13,17,201,601,3,11,11,45,680,214,4,4,36,14,0.526,0.889,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.5,0.5,0,0.0,0.0,0,0.285714285714,0.545454545455,-1,16.5,15.5454545455,1,0.574626865672,0.425373134328,0,0.56,0.44,0,0.4,0.6,0,0.384615384615,0.117647058824,1,19.7692307692,18.7058823529,1,0.446956521739,0.553043478261,0,0.433333333333,0.566666666667,0,0.714285714286,0.285714285714,1,0.272727272727,0.244444444444,0,18.2727272727,13.3555555556,1,0.250623441397,0.749376558603,-1,0.196428571429,0.803571428571,-1,0.214285714286,0.785714285714,-1,0.111111111111,0.285714285714,0,18.8888888889,15.2857142857,1,0.76062639821,0.23937360179,1,0.72,0.28,1,0.5,0.5,0
05-380X,0,11/8/2006,11,2006,ALBERTO R. GONZALES ATTORNEY GENERAL v. LEROY CARHART et al.,-8,-0.2,-1.0,1.0,1.0,0.0,4/18/2007,5.0,4.0,1.0,-1,-1,1,1,-1,-0.120861678,-0.053835979,0.109703144,0.090949821,-0.046666667,2.0,0.0,8.0,8.0,1,2.0,2.0,5,12.0,1,0,0,787,381,6,2,33,15,293,142,2,4,10,6,208,481,6,4,10,18,73,523,1,13,3,26,52,0,2,0,3,1,0.812,0.922,0.181818181818,0.133333333333,0,23.8484848485,25.4,-1,0.673801369863,0.326198630137,1,0.6875,0.3125,1,0.75,0.25,1,0.2,0.666666666667,-1,29.3,23.6666666667,1,0.673563218391,0.326436781609,1,0.625,0.375,1,0.333333333333,0.666666666667,-1,0.6,0.222222222222,1,20.8,26.7222222222,-1,0.301886792453,0.698113207547,-1,0.357142857143,0.642857142857,-1,0.6,0.4,0,0.333333333333,0.5,0,24.3333333333,20.1153846154,1,0.122483221477,0.877516778523,-1,0.103448275862,0.896551724138,-1,0.0714285714286,0.928571428571,-1,0.666666666667,0.0,1,17.3333333333,0.0,1,1.0,0.0,1,0.75,0.25,1,1.0,0.0,1
05-381X,1,11/28/2006,11,2006,WEYERHAEUSER COMPANY V.ROSS-SIMMONS HARDWOOD LUMBER COMPANY INC.,3,1.0,1.0,-1.0,-0.5,0.2,2/20/2007,9.0,0.0,1.0,1,0,-1,0,-1,0.002518403,-0.176666667,0.092361111,-0.002152256,0.015902725,1.0,1.0,9.0,9.0,1,2.0,2.0,8,11.0,1,0,0,0,988,0,12,1,55,131,128,4,7,7,7,194,0,3,0,9,1,266,194,4,3,9,8,256,43,2,2,9,5,0.055,0.961,0.0,0.218181818182,-1,0.0,17.9636363636,-1,0.0,1.0,-1,0.0178571428571,0.982142857143,-1,0.0,1.0,-1,0.571428571429,1.0,-1,18.7142857143,18.2857142857,1,0.505791505792,0.494208494208,0,0.5,0.5,0,0.363636363636,0.636363636364,-1,0.333333333333,0.0,1,21.5555555556,0.0,1,1.0,0.0,1,0.9,0.1,1,1.0,0.0,1,0.444444444444,0.375,0,29.5555555556,24.25,1,0.578260869565,0.421739130435,0,0.529411764706,0.470588235294,0,0.571428571429,0.428571428571,0,0.222222222222,0.4,0,28.4444444444,8.6,1,0.85618729097,0.14381270903,1,0.642857142857,0.357142857143,1,0.5,0.5,0
05-409X,0,4/24/2006,4,2006,CARL KIRCHER et al. v. PUTNAM FUNDS TRUST et al.,10,0.166666667,0.714285714,1.0,0.6,-1.0,6/15/2006,9.0,0.0,1.0,0,1,1,1,-1,-0.02485119,-0.142585979,-0.362202381,0.028069196,0.091104497,0.0,1.0,7.0,7.0,1,2.0,4.0,9,2.0,1,0,0,538,400,4,3,28,33,321,999,3,8,16,55,63,112,3,3,4,4,119,452,1,8,5,29,351,0,6,0,18,1,0.177,0.778,0.142857142857,0.0909090909091,0,19.2142857143,12.1212121212,1,0.573560767591,0.426439232409,0,0.459016393443,0.540983606557,0,0.571428571429,0.428571428571,0,0.1875,0.145454545455,0,20.0625,18.1636363636,1,0.243181818182,0.756818181818,-1,0.225352112676,0.774647887324,-1,0.272727272727,0.727272727273,-1,0.75,0.75,0,15.75,28.0,-1,0.36,0.64,-1,0.5,0.5,0,0.5,0.5,0,0.2,0.275862068966,0,23.8,15.5862068966,1,0.208406304729,0.791593695271,-1,0.147058823529,0.852941176471,-1,0.111111111111,0.888888888889,-1,0.333333333333,0.0,1,19.5,0.0,1,1.0,0.0,1,0.947368421053,0.0526315789474,1,1.0,0.0,1
05-416X,1,3/22/2006,3,2006,JEANNE S. WOODFORD et al. v. VIET MIKE NGO,-11,0.25,-1.0,0.5,-0.6,0.5,6/22/2006,6.0,3.0,1.0,0,-1,1,0,1,0.045539966,0.132592593,0.399603175,-0.175925926,0.064649471,5.0,3.0,9.0,9.0,1,2.0,1.5,9,2.0,1,0,0,468,384,5,3,30,30,395,102,8,0,30,7,74,226,3,1,5,22,162,228,1,3,14,7,14,502,0,4,4,34,0.011,0.763,0.166666666667,0.1,0,15.6,12.8,1,0.549295774648,0.450704225352,0,0.5,0.5,0,0.625,0.375,1,0.266666666667,0.0,1,13.1666666667,14.5714285714,-1,0.79476861167,0.20523138833,1,0.810810810811,0.189189189189,1,1.0,0.0,1,0.6,0.0454545454545,1,14.8,10.2727272727,1,0.246666666667,0.753333333333,-1,0.185185185185,0.814814814815,-1,0.75,0.25,1,0.0714285714286,0.428571428571,-1,11.5714285714,32.5714285714,-1,0.415384615385,0.584615384615,0,0.666666666667,0.333333333333,1,0.25,0.75,-1,0.0,0.117647058824,0,3.5,14.7647058824,-1,0.0271317829457,0.972868217054,-1,0.105263157895,0.894736842105,-1,0.0,1.0,-1
05-465X,-1,4/26/2006,4,2006,MOHAWK INDUSTRIES INC. v. SHIRLEY WILLIAMS et al.,12,0.666666667,-1.0,1.0,0.75,0.571428571,6/5/2006,9.0,0.0,1.0,1,-1,1,1,0,-0.059909188,0.143611111,0.045833333,-0.250384025,-0.072696208,11.0,1.0,11.0,11.0,1,1.0,2.0,9,12.0,1,0,0,156,378,3,2,11,15,247,63,1,0,22,3,3,89,0,0,1,9,141,327,1,4,8,20,395,396,4,5,24,30,0.407,0.742,0.272727272727,0.133333333333,0,14.1818181818,25.2,-1,0.292134831461,0.707865168539,-1,0.423076923077,0.576923076923,0,0.6,0.4,0,0.0454545454545,0.0,0,11.2272727273,21.0,-1,0.796774193548,0.203225806452,1,0.88,0.12,1,1.0,0.0,1,0.0,0.0,0,3.0,9.88888888889,-1,0.0326086956522,0.967391304348,-1,0.1,0.9,-1,0.0,0.0,0,0.125,0.2,0,17.625,16.35,1,0.301282051282,0.698717948718,-1,0.285714285714,0.714285714286,-1,0.2,0.8,-1,0.166666666667,0.166666666667,0,16.4583333333,13.2,1,0.499367888748,0.500632111252,0,0.444444444444,0.555555555556,0,0.444444444444,0.555555555556,0
05-493X,0,10/3/2006,10,2006,ROBERT L. AYERS JR. ACTING WARDEN v. FERNANDO BELMONTES,3,1.0,-0.166666667,0.166666667,0.666666667,-0.6,10/13/2006,5.0,4.0,1.0,1,0,-1,1,0,-0.070378151,-0.01828373,-0.160520833,0.117797877,0.078926282,5.0,3.0,9.0,9.0,1,2.0,4.0,1,12.0,1,0,0,0,268,0,3,1,22,261,235,11,5,19,13,165,108,5,2,10,11,134,340,4,5,7,22,143,191,3,2,11,11,0.057,0.868,0.0,0.136363636364,0,0.0,12.1818181818,-1,0.0,1.0,-1,0.0434782608696,0.95652173913,-1,0.0,1.0,-1,0.578947368421,0.384615384615,0,13.7368421053,18.0769230769,-1,0.526209677419,0.473790322581,0,0.59375,0.40625,0,0.6875,0.3125,1,0.5,0.181818181818,1,16.5,9.81818181818,1,0.604395604396,0.395604395604,1,0.47619047619,0.52380952381,0,0.714285714286,0.285714285714,1,0.571428571429,0.227272727273,1,19.1428571429,15.4545454545,1,0.282700421941,0.717299578059,-1,0.241379310345,0.758620689655,-1,0.444444444444,0.555555555556,0,0.272727272727,0.181818181818,0,13.0,17.3636363636,-1,0.428143712575,0.571856287425,0,0.5,0.5,0,0.6,0.4,0
05-502X,1,4/24/2006,4,2006,BRIGHAM CITY UTAH v. CHARLES W. STUART et al.,-2,1.0,-0.333333333,-0.333333333,-0.142857143,-0.230769231,5/22/2006,8.0,0.0,1.0,1,1,0,-1,0,-0.018221966,0.001015406,-0.11875,-0.032420635,-0.094126984,4.0,3.0,0.0,0.0,1,2.0,2.0,1,9.0,1,0,0,0,618,0,14,1,34,221,339,6,4,15,16,103,77,6,0,13,6,452,114,7,3,24,8,505,458,13,10,37,36,0.107,0.923,0.0,0.411764705882,-1,0.0,18.1764705882,-1,0.0,1.0,-1,0.0285714285714,0.971428571429,-1,0.0,1.0,-1,0.4,0.25,0,14.7333333333,21.1875,-1,0.394642857143,0.605357142857,-1,0.483870967742,0.516129032258,0,0.6,0.4,0,0.461538461538,0.0,1,7.92307692308,12.8333333333,-1,0.572222222222,0.427777777778,0,0.684210526316,0.315789473684,1,1.0,0.0,1,0.291666666667,0.375,0,18.8333333333,14.25,1,0.798586572438,0.201413427562,1,0.75,0.25,1,0.7,0.3,1,0.351351351351,0.277777777778,0,13.6486486486,12.7222222222,1,0.52440290758,0.47559709242,0,0.506849315068,0.493150684932,0,0.565217391304,0.434782608696,0
05-547X,1,10/3/2006,10,2006,JOSE ANTONIO LOPEZ v. ALBERTO R. GONZALES ATTORNEY GENERAL,21,0.085714286,0.25,-0.333333333,-0.666666667,0.459459459,12/5/2006,8.0,1.0,1.0,1,1,-1,-1,1,-0.172856365,0.364987245,0.375,0.057936508,0.030467631,9.0,2.0,8.0,8.0,1,1.0,2.0,2,2.0,1,1,0,309,533,4,7,27,51,129,239,4,2,11,12,158,18,5,1,13,4,306,52,5,0,21,3,245,512,6,16,17,53,0.025,0.952,0.148148148148,0.137254901961,0,11.4444444444,10.4509803922,1,0.366983372922,0.633016627078,-1,0.346153846154,0.653846153846,-1,0.363636363636,0.636363636364,-1,0.363636363636,0.166666666667,0,11.7272727273,19.9166666667,-1,0.350543478261,0.649456521739,-1,0.478260869565,0.521739130435,0,0.666666666667,0.333333333333,1,0.384615384615,0.25,0,12.1538461538,4.5,1,0.897727272727,0.102272727273,1,0.764705882353,0.235294117647,1,0.833333333333,0.166666666667,1,0.238095238095,0.0,1,14.5714285714,17.3333333333,-1,0.854748603352,0.145251396648,1,0.875,0.125,1,1.0,0.0,1,0.352941176471,0.301886792453,0,14.4117647059,9.66037735849,1,0.323645970938,0.676354029062,-1,0.242857142857,0.757142857143,-1,0.272727272727,0.727272727273,-1
05-595X,-1,11/1/2006,11,2006,GLEN WHORTON DIRECTOR NEVADA DEPARTMENT OF CORRECTIONS v. MARVIN HOWARD BOCKTING,-3,1.0,0.0,-0.2,0.333333333,-0.333333333,2/28/2007,9.0,0.0,1.0,1,0,1,0,0,0.004861111,-0.171045066,-0.098143939,-0.110726584,-0.017893218,0.0,3.0,9.0,9.0,1,2.0,1.5,1,2.0,1,0,0,0,67,0,4,1,4,150,134,3,4,9,9,73,200,4,1,9,15,184,196,2,2,10,10,224,228,2,2,16,8,0.419,0.875,0.0,1.0,-1,0.0,16.75,-1,0.0,1.0,-1,0.2,0.8,-1,0.0,1.0,-1,0.333333333333,0.444444444444,0,16.6666666667,14.8888888889,1,0.528169014085,0.471830985915,0,0.5,0.5,0,0.428571428571,0.571428571429,0,0.444444444444,0.0666666666667,1,8.11111111111,13.3333333333,-1,0.267399267399,0.732600732601,-1,0.375,0.625,-1,0.8,0.2,1,0.2,0.2,0,18.4,19.6,-1,0.484210526316,0.515789473684,0,0.5,0.5,0,0.5,0.5,0,0.125,0.25,0,14.0,28.5,-1,0.495575221239,0.504424778761,0,0.666666666667,0.333333333333,1,0.5,0.5,0
05-608X,1,10/4/2006,10,2006,MEDIMMUNE INC. v. GENENTECH INC. et al.,18,0.875,0.25,0.8,-0.294117647,-0.875,1/9/2007,8.0,1.0,1.0,1,0,1,-1,-1,0.07468254,-0.046746032,-0.040416667,-0.034250137,-0.202321429,0.0,0.0,9.0,9.0,1,2.0,2.0,9,12.0,1,0,0,205,674,2,9,9,49,337,418,7,7,17,26,93,225,0,1,4,13,787,241,17,8,58,25,415,64,14,1,38,6,0.051,0.904,0.222222222222,0.183673469388,0,22.7777777778,13.7551020408,1,0.233219567691,0.766780432309,-1,0.155172413793,0.844827586207,-1,0.181818181818,0.818181818182,-1,0.411764705882,0.269230769231,0,19.8235294118,16.0769230769,1,0.446357615894,0.553642384106,0,0.395348837209,0.604651162791,-1,0.5,0.5,0,0.0,0.0769230769231,0,23.25,17.3076923077,1,0.292452830189,0.707547169811,-1,0.235294117647,0.764705882353,-1,0.0,1.0,-1,0.293103448276,0.32,0,13.5689655172,9.64,1,0.765564202335,0.234435797665,1,0.698795180723,0.301204819277,1,0.68,0.32,1,0.368421052632,0.166666666667,1,10.9210526316,10.6666666667,1,0.866388308977,0.133611691023,1,0.863636363636,0.136363636364,1,0.933333333333,0.0666666666667,1
05-669X,0,10/4/2006,10,2006,BP AMERICA PRODUCTION COMPANY SUCCESSOR IN INTEREST TO AMOCO PRODUCTION COMPANY et al. v. REJANE BURTON ACTING ASSISTANT SECRETARY LAND AND MINERALS MANAGEMENT DEPARTMENT OF THE INTERIOR et al.,-7,0.0,-0.666666667,0.333333333,0.0,-0.107692308,12/11/2006,7.0,0.0,0.0,0,-1,-1,0,0,0.0,0.165384615,0.128571429,0.0,-0.01992184,1.0,2.0,12.0,12.0,1,2.0,2.0,9,2.0,1,1,0,0,0,0,0,1,1,252,61,2,0,13,4,58,17,3,0,4,3,0,0,0,0,1,1,821,917,11,19,76,76,0.539,0.982,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.5,0.5,0,0.0,0.0,0,0.153846153846,0.0,0,19.3846153846,15.25,1,0.805111821086,0.194888178914,1,0.764705882353,0.235294117647,1,1.0,0.0,1,0.75,0.0,1,14.5,5.66666666667,1,0.773333333333,0.226666666667,1,0.571428571429,0.428571428571,0,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.5,0.5,0,0.0,0.0,0,0.144736842105,0.25,0,10.8026315789,12.0657894737,-1,0.472382048331,0.527617951669,0,0.5,0.5,0,0.366666666667,0.633333333333,-1
05-705X,-1,10/10/2006,10,2006,GLOBAL CROSSING TELECOMMUNICATIONS INC. v. METROPHONES TELECOMMUNICATIONS INC.,-2,0.0,-1.0,0.0,-0.5,0.636363636,4/17/2007,7.0,2.0,0.0,-1,-1,-1,0,1,0.062742272,-0.096031746,0.0,-0.045965608,0.223863467,1.0,1.0,9.0,9.0,1,2.0,2.0,8,11.0,1,1,0,603,210,7,1,37,8,98,47,4,2,6,2,28,0,1,0,1,1,313,437,3,5,14,18,139,586,4,3,13,36,0.446,0.432,0.189189189189,0.125,0,16.2972972973,26.25,-1,0.741697416974,0.258302583026,1,0.822222222222,0.177777777778,1,0.875,0.125,1,0.666666666667,1.0,-1,16.3333333333,23.5,-1,0.675862068966,0.324137931034,1,0.75,0.25,1,0.666666666667,0.333333333333,1,1.0,0.0,1,28.0,0.0,1,1.0,0.0,1,0.5,0.5,0,1.0,0.0,1,0.214285714286,0.277777777778,0,22.3571428571,24.2777777778,-1,0.417333333333,0.582666666667,0,0.4375,0.5625,0,0.375,0.625,-1,0.307692307692,0.0833333333333,1,10.6923076923,16.2777777778,-1,0.191724137931,0.808275862069,-1,0.265306122449,0.734693877551,-1,0.571428571429,0.428571428571,0
05-746X,0,10/10/2006,10,2006,NORFOLK SOUTHERN RAILWAY COMPANY v. TIMOTHY SORRELL,5,0.333333333,-1.0,-1.0,0.75,0.2,1/10/2007,9.0,0.0,1.0,-1,-1,0,1,1,0.288900914,0.035416667,-0.1375,-0.096676587,0.105772006,1.0,11.0,0.0,0.0,1,2.0,2.0,8,12.0,1,0,0,633,389,7,2,46,21,435,0,5,0,20,1,49,65,2,0,3,3,192,586,2,9,8,29,202,395,1,10,7,24,0.183,0.854,0.152173913043,0.0952380952381,0,13.7608695652,18.5238095238,-1,0.619373776908,0.380626223092,1,0.686567164179,0.313432835821,1,0.777777777778,0.222222222222,1,0.25,0.0,1,21.75,0.0,1,1.0,0.0,1,0.952380952381,0.047619047619,1,1.0,0.0,1,0.666666666667,0.0,1,16.3333333333,21.6666666667,-1,0.429824561404,0.570175438596,0,0.5,0.5,0,1.0,0.0,1,0.25,0.310344827586,0,24.0,20.2068965517,1,0.246786632391,0.753213367609,-1,0.216216216216,0.783783783784,-1,0.181818181818,0.818181818182,-1,0.142857142857,0.416666666667,-1,28.8571428571,16.4583333333,1,0.338358458961,0.661641541039,-1,0.225806451613,0.774193548387,-1,0.0909090909091,0.909090909091,-1
05-785X,0,10/11/2006,10,2006,THOMAS L. CAREY WARDEN v. MATHEW MUSLADIN,-1,0.0,1.0,-0.333333333,0.666666667,0.6,12/11/2006,9.0,0.0,1.0,1,1,-1,0,0,-0.039625124,-0.224931973,0.05547619,-0.003253968,0.119166255,5.0,3.0,9.0,9.0,1,2.0,4.0,1,12.0,1,0,0,262,593,4,4,12,38,121,305,2,8,3,19,424,129,14,4,31,9,322,282,8,6,18,16,364,366,3,3,20,20,0.057,0.569,0.333333333333,0.105263157895,1,21.8333333333,15.6052631579,1,0.306432748538,0.693567251462,-1,0.24,0.76,-1,0.5,0.5,0,0.666666666667,0.421052631579,1,40.3333333333,16.0526315789,1,0.284037558685,0.715962441315,-1,0.136363636364,0.863636363636,-1,0.2,0.8,-1,0.451612903226,0.444444444444,0,13.6774193548,14.3333333333,-1,0.766726943942,0.233273056058,1,0.775,0.225,1,0.777777777778,0.222222222222,1,0.444444444444,0.375,0,17.8888888889,17.625,1,0.533112582781,0.466887417219,0,0.529411764706,0.470588235294,0,0.571428571429,0.428571428571,0,0.15,0.15,0,18.2,18.3,0,0.498630136986,0.501369863014,0,0.5,0.5,0,0.5,0.5,0
05-83XX,1,4/17/2006,4,2006,WASHINGTON v. ARTURO R. RECUENCO,5,1.0,-1.0,-0.166666667,1.0,-1.0,6/26/2006,7.0,2.0,1.0,1,-1,0,1,-1,-0.070918367,-0.10452381,-0.047097146,0.175089286,0.278632661,5.0,3.0,0.0,0.0,1,2.0,4.0,1,11.0,1,0,0,0,216,0,6,1,22,213,0,4,0,16,1,442,316,6,7,23,20,128,281,2,4,9,16,392,54,7,2,15,4,0.383,0.979,0.0,0.272727272727,-1,0.0,9.81818181818,-1,0.0,1.0,-1,0.0434782608696,0.95652173913,-1,0.0,1.0,-1,0.25,0.0,1,13.3125,0.0,1,1.0,0.0,1,0.941176470588,0.0588235294118,1,1.0,0.0,1,0.260869565217,0.35,0,19.2173913043,15.8,1,0.583113456464,0.416886543536,0,0.53488372093,0.46511627907,0,0.461538461538,0.538461538462,0,0.222222222222,0.25,0,14.2222222222,17.5625,-1,0.312958435208,0.687041564792,-1,0.36,0.64,-1,0.333333333333,0.666666666667,-1,0.466666666667,0.5,0,26.1333333333,13.5,1,0.878923766816,0.121076233184,1,0.789473684211,0.210526315789,1,0.777777777778,0.222222222222,1
